Fecha,Refineria de Barranca ($/Kg),Reficar ($/Kg),Apiay ($/Kg),Dina ($/Kg),Cusiana  ($/Kg),Cupiagua ($/Kg),Importado ECP ($/Kg)
2003-01-15,632.4636364,687.9201244,632.4636364,,,,
2003-02-15,632.4636364,687.9201244,632.4636364,,,,
2003-03-15,632.4636364,687.9201244,632.4636364,,,,
2003-04-15,632.4636364,687.9201244,632.4636364,,,,
2003-05-15,632.4636364,687.9201244,632.4636364,,,,
2003-06-15,632.4636364,687.9201244,632.4636364,,,,
2003-07-15,632.4636364,687.9201244,632.4636364,,,,
2003-08-15,632.4636364,687.9201244,632.4636364,,,,
2003-09-15,632.4636364,687.9201244,632.4636364,,,,
2003-10-15,632.4636364,687.9201244,632.4636364,,,,
2003-11-15,632.4636364,687.9201244,632.4636364,,,,
2003-12-15,632.4636364,687.9201244,632.4636364,,,,
2004-01-15,632.4727273,687.9300124,632.4727273,,,,
2004-02-15,632.4727273,687.9300124,632.4727273,,,,
2004-03-15,577.95,628.6265534,577.95,,,,
2004-04-15,639.3272727,695.3855869,639.3272727,,,,
2004-05-15,639.3272727,695.3855869,639.3272727,,,,
2004-06-15,639.3272727,695.3855869,639.3272727,,,,
2004-07-15,639.3272727,695.3855869,639.3272727,,,,
2004-08-15,639.3272727,695.3855869,639.3272727,,,,
2004-09-15,639.3272727,695.3855869,639.3272727,,,,
2004-10-15,639.3272727,695.3855869,639.3272727,,,,
2004-11-15,639.3272727,695.3855869,639.3272727,,,,
2004-12-15,639.3272727,695.3855869,639.3272727,,,,
2005-01-15,639.3272727,695.3855869,639.3272727,,,,
2005-02-15,639.3272727,695.3855869,639.3272727,,,,
2005-03-15,669.5227273,728.228678,669.5227273,,,,
2005-04-15,669.5227273,728.228678,669.5227273,,,,
2005-05-15,669.5227273,728.228678,669.5227273,,,,
2005-06-15,669.5227273,728.228678,669.5227273,,,,
2005-07-15,669.5227273,728.228678,669.5227273,,,,
2005-08-15,669.5227273,728.228678,669.5227273,,,,
2005-09-15,669.5227273,728.228678,669.5227273,,,,
2005-10-15,669.5227273,728.228678,669.5227273,,,,
2005-11-15,669.5227273,728.228678,669.5227273,,,,
2005-12-15,669.5227273,728.228678,669.5227273,,,,
2006-01-15,669.5227273,728.228678,669.5227273,,,,
2006-02-15,669.5227273,728.228678,669.5227273,,,,
2006-03-15,757.0293477,823.4081662,757.0293477,,,,
2006-04-15,757.0293477,823.4081662,757.0293477,,,,
2006-05-15,757.0293477,823.4081662,757.0293477,,,,
2006-06-15,757.0293477,823.4081662,757.0293477,,,,
2006-07-15,757.0293477,823.4081662,757.0293477,,,,
2006-08-15,757.0293477,823.4081662,757.0293477,,,,
2006-09-15,794.8772727,864.5747216,794.8772727,,,,
2006-10-15,794.8772727,864.5747216,794.8772727,,,,
2006-11-15,794.8772727,864.5747216,794.8772727,,,,
2006-12-15,794.8772727,864.5747216,794.8772727,,,,
2007-01-15,794.8772727,864.5747216,794.8772727,,,,
2007-02-15,794.8772727,864.5747216,794.8772727,,,,
2007-03-15,966.5045455,1051.250837,966.5045455,,,,
2007-04-15,966.5045455,1051.250837,966.5045455,,,,
2007-05-15,966.5045455,1051.250837,966.5045455,,,,
2007-06-15,966.5045455,1051.250837,966.5045455,,,,
2007-07-15,966.5045455,1051.250837,966.5045455,,,,
2007-08-15,966.5045455,1051.250837,966.5045455,,,,
2007-09-15,966.5045455,1051.250837,966.5045455,,,,
2007-10-15,966.5045455,1051.250837,966.5045455,,,,
2007-11-15,966.5045455,1051.250837,966.5045455,,,,
2007-12-15,966.5045455,1051.250837,966.5045455,,,,
2008-01-15,966.5045455,1051.250837,966.5045455,,,,
2008-02-15,966.5045455,1051.250837,966.5045455,,,,
2008-03-15,985.9,1072.346949,985.9,,,,
2008-04-15,985.9,1072.346949,985.9,,,,
2008-05-15,985.9,1072.346949,985.9,,,,
2008-06-15,985.9,1072.346949,985.9,,,,
2008-07-15,1192.940909,1297.541884,1192.940909,,,,
2008-08-15,985.9,1072.346949,985.9,,,,
2008-09-15,1192.940909,1297.541884,1192.940909,,,,
2008-10-15,1192.940909,1297.541884,1192.940909,,,,
2008-11-15,1020.354545,1109.822582,1020.354545,,,,
2008-12-15,628.5454545,683.6583835,628.5454545,,,,
2009-01-15,437.1318182,584.2292994,437.1318182,,,,
2009-02-15,691.3954545,720.6593912,691.3954545,,,,
2009-03-15,691.3954545,720.6593912,691.3954545,,,,
2009-04-15,722.4537761,742.5984592,722.4537761,,,,
2009-05-15,606.0954545,623.9791794,606.0954545,,,,
2009-06-15,621.9494002,646.5561645,621.9494002,,,,
2009-07-15,776.2537392,806.96539,776.2537392,,,,
2009-08-15,732.9224058,761.9196986,732.9224058,,,,
2009-09-15,806.6187259,838.5317349,806.6187259,,,,
2009-10-15,787.8508098,819.0212863,787.8508098,,,,
2009-11-15,929.5542783,924.6712505,929.5542783,,,,
2009-12-15,1069.64956,1064.961873,1069.64956,,,,
2010-01-15,1201.218182,1222.200041,1201.218182,,,,
2010-02-15,1222.672727,1257.208611,1222.672727,,,,
2010-03-15,1101.141769,1121.986151,1101.141769,,,,
2010-04-15,971.2792296,953.3598995,971.2792296,971.2792296,,,
2010-05-15,1118.812825,1134.893667,1118.812825,1118.812825,,,
2010-06-15,992.8044502,1007.701045,992.8044502,992.8044502,,,
2010-07-15,960.4233303,973.6700344,960.4233303,960.4233303,,,
2010-08-15,911.5139355,955.1247131,911.5139355,911.5139355,,,
2010-09-15,919.4436235,953.1040871,919.4436235,919.4436235,,,
2010-10-15,955.5307134,993.8336249,955.5307134,955.5307134,,,
2010-11-15,1058.733219,1102.612916,1058.733219,1058.733219,,,
2010-12-15,1158.896046,1193.949706,1158.896046,1158.896046,,,
2011-01-15,1200.372079,1299.814122,1200.372079,1200.372079,,,
2011-02-15,1158.577381,1233.299761,1158.577381,1158.577381,,,
2011-03-15,1286.336133,1345.785475,1286.336133,1286.336133,,,
2011-04-15,1260.734436,1330.426944,1260.734436,1260.734436,,,
2011-05-15,1224.63856,1311.344921,1224.63856,1224.63856,,,
2011-06-15,1301.060267,1337.012196,1301.060267,1301.060267,,,
2011-07-15,1287.409201,1347.817964,1287.409201,1287.409201,,,
2011-08-15,1241.552989,1365.624422,1241.552989,1241.552989,,,
2011-09-15,1291.016497,1378.195612,1291.016497,1291.016497,,,
2011-10-15,1363.943284,1700.846155,1363.943284,1363.943284,1363.943284,,
2011-11-15,1201.811356,1603.225723,1201.811356,1201.811356,1201.811356,,
2011-12-15,1289.822338,1677.143388,1289.822338,1289.822338,1289.822338,,
2012-01-15,1319.062821,1688.704051,1319.062821,1319.062821,1319.062821,,
2012-02-15,1149.112976,1429.693525,1149.112976,1149.112976,1149.112976,,
2012-03-15,1059.278625,1095.774213,1059.278625,1059.278625,1059.278625,,
2012-04-15,1122.089019,1142.676397,1122.089019,1122.089019,1122.089019,,
2012-05-15,1058.417232,1061.593474,1058.417232,1058.417232,1058.417232,,
2012-06-15,859.378252,983.8332953,859.378252,859.378252,859.378252,,
2012-07-15,629.2439125,936.2387898,629.2439125,629.2439125,629.2439125,,
2012-08-15,695.294581,1050.942391,695.294581,695.294581,695.294581,,
2012-09-15,782.3383099,1026.557307,782.3383099,782.3383099,782.3383099,,
2012-10-15,789.4914165,1123.698944,789.4914165,789.4914165,789.4914165,,
2012-11-15,840.7866806,1069.631526,840.7866806,840.7866806,840.7866806,,
2012-12-15,839.3954545,995.7443815,839.3954545,839.3954545,839.3954545,,
2013-01-15,801.5779993,1031.981006,801.5779993,801.5779993,801.5779993,,
2013-02-15,810.2783877,918.68672,810.2783877,810.2783877,810.2783877,,
2013-03-15,819.2899833,1042.257542,819.2899833,819.2899833,819.2899833,,
2013-04-15,769.7616561,981.0565788,769.7616561,769.7616561,769.7616561,,
2013-05-15,742.974405,1000.071142,742.974405,742.974405,742.974405,,
2013-06-15,745.5201639,1082.479814,745.5201639,745.5201639,745.5201639,,
2013-07-15,690.7984207,979.8913247,690.7984207,690.7984207,690.7984207,,
2013-08-15,741.7702484,1039.456095,741.7702484,741.7702484,741.7702484,,
2013-09-15,889.9077194,1160.377488,889.9077194,889.9077194,889.9077194,,
2013-10-15,902.9418375,1167.323282,902.9418375,902.9418375,902.9418375,,
2013-11-15,947.8555186,1214.382015,947.8555186,947.8555186,947.8555186,,
2013-12-15,974.1843454,,974.1843454,974.1843454,974.1843454,,
2014-01-15,1010.924038,,1010.924038,1010.924038,1010.924038,,
2014-02-15,1168.006199,,1168.006199,1168.006199,1168.006199,,
2014-03-15,1203.294574,,1203.294574,1203.294574,1203.294574,,
2014-04-15,871.8090909,,871.8090909,871.8090909,871.8090909,,
2014-05-15,881.2473666,,881.2473666,881.2473666,881.2473666,,
2014-06-15,808.8361507,,808.8361507,808.8361507,808.8361507,,
2014-07-15,812.3318182,,812.3318182,812.3318182,812.3318182,,
2014-08-15,801.8136364,,801.8136364,801.8136364,801.8136364,,
2014-09-15,810.45,,810.45,810.45,810.45,,
2014-10-15,909.5727273,,909.5727273,909.5727273,909.5727273,,
2014-11-15,792.1045455,,792.1045455,792.1045455,792.1045455,,
2014-12-15,748.8272727,,748.8272727,748.8272727,748.8272727,,
2015-01-15,506.8814962,,506.8814962,506.8814962,506.8814962,,
2015-02-15,429.5199934,,429.5199934,429.5199934,429.5199934,,
2015-03-15,521.8282106,,521.8282106,521.8282106,521.8282106,,
2015-04-15,500.3470898,,500.3470898,500.3470898,500.3470898,,
2015-05-15,443.6766002,,443.6766002,443.6766002,443.6766002,,
2015-06-15,383.7171356,574.6298387,383.7171356,383.7171356,383.7171356,,
2015-07-15,735.4157482,798.1772983,735.4157482,735.4157482,735.4157482,,
2015-08-15,820.3041774,881.5294822,820.3041774,820.3041774,820.3041774,,
2015-09-15,883.4518755,953.053682,883.4518755,883.4518755,883.4518755,,
2015-10-15,895.9454545,956.2614783,895.9454545,895.9454545,895.9454545,,
2015-11-15,894.8636364,953.5447421,894.8636364,894.8636364,894.8636364,,
2015-12-15,891.148155,1001.034304,891.148155,891.148155,891.148155,,
2016-01-15,904.2713288,1123.591723,904.2713288,904.2713288,904.2713288,,
2016-02-15,924.8629119,1175.534554,924.8629119,924.8629119,924.8629119,,
2016-03-15,954.1848769,1182.018922,954.1848769,954.1848769,954.1848769,,
2016-04-15,876.8787584,1083.608484,876.8787584,876.8787584,876.8787584,,
2016-05-15,830.217096,1024.208338,830.217096,830.217096,830.217096,,
2016-06-15,889.6391056,1099.852364,889.6391056,889.6391056,889.6391056,,
2016-07-15,599.7280277,900.1426683,595.3309158,598.9168827,598.9168827,,
2016-08-15,531.6596553,837.1852034,525.4105102,530.5428613,530.5428613,,
2016-09-15,463.5615818,738.3117436,456.4032279,459.806489,459.806489,,
2016-10-15,527.0132086,781.7855614,520.6368167,524.5607841,524.5607841,,
2016-11-15,681.7710558,939.5489134,674.7094138,680.0774598,680.0774598,,
2016-12-15,678.5933564,936.5014461,670.288633,676.3662627,676.3662627,,
2017-01-15,869.3065586,1156.774101,857.7513845,867.4744216,867.4744216,,
2017-02-15,961.7038417,1228.087802,959.0557889,961.7038417,961.7038417,,
2017-03-15,1047.233562,1386.705784,1047.233562,1047.233562,1047.233562,,
2017-04-15,686.5593403,997.7906981,685.5896951,686.5593403,686.5593403,,
2017-05-15,754.510116,1053.90695,753.7208065,754.510116,754.510116,,
2017-06-15,722.7494078,1018.703477,722.205655,722.7494078,722.7494078,,
2017-07-15,679.5696575,956.7832873,679.5696575,679.5696575,679.5696575,,
2017-08-15,781.8303898,1071.947875,781.7929359,781.8303898,781.8303898,,
2017-09-15,913.1222769,1170.228509,912.8779524,913.1222769,913.1222769,,
2017-10-15,1085.240963,1359.361035,1085.019828,1085.240963,1085.240963,,2006.753976
2017-11-15,1182.188498,1463.020011,1182.15948,1182.188498,1182.188498,,2125.868046
2017-12-15,1206.038099,1526.202783,1206.038099,1206.038099,1206.038099,,2155.185315
2018-01-15,1171.795884,1487.609619,1172.003928,1171.795884,1171.795884,,2071.284984
2018-02-15,1038.042249,1335.632113,1038.186709,1038.042249,1038.042249,,1913.13
2018-03-15,968.5733814,1263.086005,968.7521174,968.5733814,968.5733814,,1965.047174
2018-04-15,862.412445,1133.612882,862.0976054,862.412445,862.412445,,1713.948044
2018-05-15,910.8900913,1197.584184,910.8698358,910.8900913,910.8900913,,1751.197637
2018-06-15,1084.401643,1373.959517,1084.46384,1084.401643,1084.401643,,1835.038903
2018-07-15,1083.192881,1348.891798,1082.46481,1083.192881,1083.192881,,
2018-08-15,1216.564852,1420.112129,1214.734661,1216.564852,1216.564852,,
2018-09-15,1286.74,1544.42,1285.39,1286.74,1286.74,,
2018-10-15,1382.24,1640.38,1380.98,1382.24,1382.24,,
2018-11-15,1320.04,1597.6,1318.17,1320.04,1320.04,,
2018-12-15,957.0660746,1254.329392,957.2702377,957.0660746,957.0660746,,
2019-01-15,857.9,1144,857.9,857.9,857.9,,1627.422952
2019-02-15,834.3356898,1090.890704,834.3356898,834.3356898,834.3340197,,1607.622884
2019-03-15,829.6307265,1074.596812,829.6307265,829.6307265,829.6307265,,1641.977428
2019-04-15,816.3203016,1095.462452,816.3203016,816.1990108,816.3203016,,1543.603784
2019-05-15,800.1791078,1070.603457,800.1791078,800.1791078,800.1791078,,1710.170108
2019-06-15,692,1004,692,692,692,,1296
2019-07-15,420.56,724.85,420.56,420.56,420.56,,
2019-08-15,467.95,771.02,467.95,467.95,467.95,,
2019-09-15,451.2394901,747.6848947,451.0272068,450.7510574,451.2394901,,
2019-10-15,535.0076283,846.0695116,535.0076283,535.0076283,535.0076283,481.5068655,
2019-11-15,570.3382441,886.7473024,569.3914006,568.7841303,570.3382441,513.3044197,
2019-12-15,761.49,987.8,759.02,764.83,761.49,685.34,
2020-01-15,626.38,851.2,624.23,626.38,626.38,563.74,
2020-02-15,594.94,722.29,593.95,589.63,594.94,,
2020-03-15,564.01,732.51,564.01,564.01,564.01,,
2020-04-15,450.39,673.27,450.39,450.39,450.39,,
2020-05-15,447.91,659.3254231,447.91,447.91,447.91,447.9053268,
2020-06-15,458.3354037,798.4373491,458.3354037,458.3354037,458.3354037,458.3354037,
2020-07-15,640.91,969.66,640.91,640.91,640.91,640.91,
2020-08-15,632.22,965.12,632.22,632.22,632.22,632.22,
2020-09-15,691.9574682,1017.601167,691.9574682,691.9574682,691.9574682,,
2020-10-15,747.7689813,1000.085745,747.7689813,747.7689813,747.7689813,,
2020-11-15,776.2411696,1054.465952,776.2411696,776.2411696,776.2411696,,
2020-12-15,827.19,1047.58,822.99,827.19,827.19,827.19,
2021-01-15,950.92,1170.49,948.36,950.92,950.92,950.92,
2021-02-15,1228.3,1606.27,1228.69,1228.97,1228.97,1228.97,
2021-03-15,1335.09,1695.15,1335.09,1335.82,1335.09,1335.09,
2021-04-15,1433.131127,1785.239903,1433.131127,1433.413685,1433.131127,1433.131127,
2021-05-15,1215.576244,1600.889557,1215.576244,1215.576244,1215.576244,1215.576244,
2021-06-01,1272.589805,1607.359563,1272.400381,1272.589805,1272.589805,1272.589805,
2021-07-01,1577.2,1908.85,1577.2,1577.2,1577.2,1577.2,
2021-08-01,1872.8,2204.94,1872.8,1872.8,1872.8,1872.8,
2021-09-01,1902.32,2231.79,1902.32,1902.9,1902.32,1902.9,
2021-10-01,2244,2596,2243.61,2243.61,2243.8,2243.61,
2021-11-01,2490,2852,2490.4,2496.6,2490.3,2490.3,
2021-12-01,2309.64,2633.2,2309.17,2308.58,2309.64,2309.64,
